/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
fawn 3
Whaejudgmtent 1
writings 1
fishermens 1
hisclerkh 1
foul 9
hnehis 1
four 10
fleeces 1
litterdnot 1
Does 5
spiders 1
fout 1
hanging 4
ringlets 1
mon 2
Until 5
vassals 1
conjure 6
pleasantspirited 1
looking 4
fretful 1
thewsydn 1
loru 1
rouse 2
nonforce 1
scold 3
fellohets 1
MUSTARDSEED 1
Fetch 2
Vengeance 2
mutinies 2
merenery 1
lord 11
mymhastes 1
rsxect 1
thisrying 1
dissolution 1
sustaind 1
sinking 3
Ding 1
breeders 1
impertinent 1
oceans 1
nrI 1
appropriation 1
yellow 3
breakpromise 1
fur 1
shallIe 1
bringing 3
ANNE 1
rancour 1
Lest 6
Chill 1
disturb 1
caryt 1
scholar 4
Less 2
wooden 1
turpitude 1
PROCULEIUS 1
dissolutely 1
satchel 1
plainings 1
broiled 1
displeasures 1
brutish 2
woods 1
carye 1
caryf 1
succession 3
havior 2
somethingealse 1
selfreproving 1
preparnd 1
habiliments 1
charter 3
lovest 5
perverted 1
nigh 4
tired 4
cretc 1
railing 2
bacon 1
suppliants 1
pulse 2
tires 1
conjuring 1
second 10
sooth 7
valiant 8
sustaining 1
consenting 2
bedded 1
aptness 2
loathing 1
movousus 1
Bassanie 1
Bassanid 1
backthats 1
errors 3
Wears 2
rivality 1
thunder 6
Jarteer 1
fingers 2
Weary 1
hostile 1
garliceaters 1
sweeier 1
Abated 1
increasing 2
admiral 1
inducement 1
shocks 1
usance 1
thatIl 1
committst 1
chins 2
Plate 1
herb 2
sunbeams 1
error 7
Truth 1
fronts 1
here 11
Knacks 1
SNOUT 1
reported 3
momentany 1
hecuot 1
thtIghave 1
properest 1
hers 8
undivulged 1
shriek 1
ful 1
chink 1
Croak 1
Catos 2
overkindness 1
substance 4
Consume 1
strewd 3
reports 4
controversy 2
N 1
cuckoldmad 1
Drop 1
lightlythough 1
natures 7
Sought 1
military 2
knavery 3
findihm 1
golden 9
findihn 1
forGodseswukd 1
divide 3
birthright 1
Disloyal 2
Three 7
scoffer 1
brought 11
casements 1
daughterinlaw 1
stern 4
unhardend 1
Wales 1
Messina 2
hoping 3
Whoa 1
sternest 1
goodjer 1
Accompany 1
spoke 10
browse 1
threeoif 1
glimmering 1
Sshall 1
lorn 1
music 8
therefore 10
passport 1
Gentry 1
strike 9
until 8
menaces 1
females 2
holy 10
caracks 1
brings 9
huntress 1
gashes 1
Ppresenling 1
Rule 1
holp 5
glass 7
wildcat 1
hurl 2
midst 4
hold 11
attendantso 1
circumstances 2
suchrulce 1
locked 1
pursue 6
butdoeite 1
famed 2
blade 1
glowing 2
DERCETAS 1
Frosty 1
sweeter 1
stonecutter 1
uprightjudge 1
outscorn 1
apoplexy 1
revenues 2
example 5
newtrothed 1
misfortunes 1
DUKE 3
Le 2
triple 3
wane 1
MOTH 1
unjust 4
household 1
Soundly 1
thnennonI 1
dragons 3
malign 1
caution 2
kingdoms 2
want 9
Oberon 1
reprove 1
cookery 2
absolute 5
hog 3
LE 1
hoc 1
unpaid 1
complaining 1
alltrediese 1
travel 5
feature 4
comedians 1
Killing 1
how 11
hot 10
hor 1
hos 1
hop 1
Sepulchring 1
tangled 1
canaries 1
void 1
dignified 2
hoy 1
A 11
vehemency 1
counterfeitly 1
Toms 2
beauty 10
isrffinger 1
Sweetheart 1
clothiers 1
grandam 1
shores 2
modest 8
Yields 1
quips 2
Bertrams 1
Nfor 1
Aloud 1
righthand 1
Alack 7
laernd 1
obscuring 1
rejoicingly 1
turd 1
scourge 2
wins 3
youths 1
DEMETRIUS 2
revolt 6
praisedtherein 1
discontinued 1
wink 3
thewWhichthe 1
squiny 1
snowballs 1
Another 9
keeps 7
Sarum 1
hoot 1
quainerd 1
wing 6
wind 11
wine 9
serv 1
blind 8
Ursula 1
nourished 1
welcomed 1
dreamed 2
govern 3
vary 1
Willt 3
gar 1
dely 1
hl 1
ewe 1
reinforcement 1
Guiderius 1
SsirIsgentreatyhou 1
wrought 5
welcomes 2
shorter 2
Tthat 1
His 11
Hit 1
fit 9
